"a	0	36
"b	1	3
"c	2	6
"i	3	5
"l	4	3
"m	5	11
"o	6	3
"p	7	26
"r	8	3
"t	9	3
"x	10	20
"y	11	3
' 	12	2
'a	13	4
'o	14	3
'r	15	5
's	16	14
't	17	3
'w	18	5
-p	19	3
-r	20	3
00	21	6
1 	22	37
10	23	34
11	24	9
12	25	18
13	26	8
15	27	12
16	28	10
17	29	12
18	30	13
19	31	24
1a	32	1
2 	33	25
20	34	24
21	35	3
22	36	12
24	37	9
25	38	3
26	39	6
27	40	12
29	41	14
2a	42	1
3 	43	19
30	44	18
31	45	3
32	46	1
33	47	1
35	48	3
37	49	9
38	50	9
39	51	17
3a	52	1
4 	53	8
40	54	2
41	55	3
42	56	12
43	57	4
44	58	17
45	59	6
46	60	19
48	61	6
49	62	3
4a	63	1
5 	64	13
5%	65	3
50	66	10
51	67	1
53	68	6
54	69	3
55	70	3
56	71	14
58	72	6
59	73	12
5a	74	1
6 	75	5
60	76	6
61	77	1
62	78	11
63	79	14
64	80	30
65	81	22
67	82	6
68	83	6
69	84	1
6a	85	1
7 	86	7
70	87	4
71	88	10
72	89	11
73	90	39
74	91	13
75	92	3
76	93	15
77	94	12
79	95	34
7a	96	1
8 	97	2
80	98	5
81	99	25
82	100	12
83	101	12
84	102	24
85	103	27
86	104	22
87	105	21
88	106	14
89	107	9
8a	108	1
9 	109	4
90	110	19
91	111	12
92	112	28
93	113	18
94	114	14
95	115	10
96	116	5
97	117	27
98	118	4
9a	119	1
a 	120	1549
a'	121	29
aa	122	1
ab	123	122
ac	124	758
ad	125	420
ae	126	3
af	127	198
ag	128	440
al	129	262
am	130	129
an	131	1869
ap	132	306
aq	133	6
ar	134	939
as	135	614
at	136	164
au	137	162
av	138	20
aw	139	10
b 	140	142
b'	141	14
ba	142	95
be	143	1336
bi	144	34
bl	145	32
bo	146	147
br	147	46
bu	148	408
bw	149	3
by	150	502
c 	151	104
c'	152	4
ca	153	697
ce	154	90
ch	155	315
ci	156	56
cl	157	339
co	158	1584
cr	159	65
cu	160	199
d 	161	25
da	162	285
de	163	1005
di	164	548
do	165	287
dr	166	9
du	167	208
dw	168	3
e 	169	17
e'	170	3
ea	171	111
ed	172	17
ef	173	253
eg	174	4
ei	175	51
el	176	47
em	177	132
en	178	200
eq	179	39
es	180	139
et	181	3
ev	182	116
ex	183	764
ey	184	3
f 	185	4
f'	186	2
fa	187	246
fe	188	57
fi	189	211
fl	190	9
fo	191	805
fr	192	304
fu	193	85
ga	194	33
ge	195	36
gi	196	243
go	197	52
gr	198	137
gu	199	323
h 	200	2
ha	201	757
he	202	660
hi	203	175
ho	204	166
hu	205	15
i 	206	74
ia	207	1
id	208	35
ie	209	5
if	210	488
ii	211	124
il	212	12
im	213	132
in	214	1519
ir	215	9
is	216	774
it	217	308
iv	218	35
ix	219	3
ja	220	21
je	221	3
jo	222	60
ju	223	101
ki	224	44
kn	225	124
ko	226	3
l 	227	6
la	228	334
le	229	341
li	230	405
lo	231	195
lu	232	16
m 	233	4
ma	234	1319
me	235	143
mi	236	160
mo	237	718
mu	238	235
my	239	3
n 	240	2
na	241	83
ne	242	222
no	243	985
nu	244	29
ob	245	949
oc	246	29
of	247	2259
ol	248	21
on	249	447
op	250	49
or	251	1213
ot	252	397
ou	253	46
ov	254	50
ow	255	262
p 	256	6
pa	257	1220
pe	258	1024
ph	259	10
pi	260	10
pl	261	223
po	262	370
pr	263	1620
pu	264	206
qu	265	68
ra	266	153
re	267	2254
ri	268	299
ro	269	37
ru	270	62
s 	271	52
sa	272	316
sc	273	21
se	274	628
sh	275	786
si	276	171
sk	277	6
so	278	109
sp	279	259
st	280	256
su	281	942
sy	282	7
ta	283	82
te	284	283
th	285	5410
ti	286	163
to	287	1541
tr	288	136
tw	289	92
ty	290	8
un	291	421
up	292	70
ur	293	6
us	294	160
v 	295	18
va	296	72
ve	297	26
vi	298	103
vo	299	42
wa	300	358
we	301	55
wh	302	1029
wi	303	672
wo	304	140
wr	305	28
x 	306	9
xa	307	1
y 	308	8
ya	309	1
ye	310	150
zo	311	3
