H18-9-1	0.0036954 -0.00068257 -0.00020753 -0.0020869 0.0017594 -0.0010743 -0.00024683 -0.001315 -0.00047188 0.0015692 0.0011922 0.0030584 -0.0022739 -0.0019997 0.0029477 0.0022499 -0.0016317 0.0019875 -0.00010736 3.2708e-05 0.0022735 -0.00080644 0.00040383 0.0014887 0.0017166 -0.001088 -0.0009339 0.0016055 0.00059306 -0.0001477 0.0020526 -0.00040371 0.00040091 0.0017182 0.00061969 -4.7924e-05 -0.00081269 -0.0017314 -0.0034806 0.00028741 0.00036738 0.0036183 0.0037026 -0.00064601 0.00012908 -0.0040721 0.0047863 0.0032068 0.0033401 0.00026248 -0.00096278 0.0020862 0.0024853 0.0012555 -0.00027579 0.0013849 0.0024135 -0.0014091 -0.00023565 -0.0005555 0.0011888 -0.0017634 0.0029421 0.0021756 -0.0010246 -0.0021842 -0.002943 0.0023207 -0.0050329 0.0019486 0.0013755 -0.00082329 -0.00071525 -0.0039106 0.0052873 -0.001542 -0.00025231 -0.0015627 0.00099498 0.0015136 0.0041 -0.00047384 0.0012156 5.711e-05 0.0011235 -0.0010838 0.0034493 -2.0667e-05 0.0012109 -6.3985e-05 6.2089e-05 -0.0016679 0.0010024 -0.0029234 -0.0013627 -0.00051158 -0.0033512 -0.001939 0.0016855 -0.0037841
H18-20-1	0.0024326 0.0022925 0.0015578 -0.0021213 0.0016029 0.0024844 -0.001858 0.0014989 0.00054553 0.0029224 0.00023312 0.0017681 0.0013965 0.0008271 0.0015142 -0.0010855 -0.0011511 -9.2557e-05 -0.0027311 0.00057316 0.0004014 0.0028207 0.00073417 -0.0032059 -0.0011419 -0.0015708 0.00011819 -0.0020263 0.0018639 0.00020503 -0.00071714 0.0010154 -0.00093101 -0.00037987 -0.001578 0.0012593 -0.0014325 -0.00069152 0.00047861 0.00093886 -0.0010253 0.0009438 0.0030992 -0.00011715 0.00016112 -0.0013819 0.001727 0.00017156 -0.00063293 -0.00038541 0.0003576 0.00029087 0.00016043 -0.0019683 -2.4464e-05 -0.00010131 -0.00026338 0.0015127 0.0015228 0.00046743 0.00032851 0.0002402 0.0025967 -0.00082269 -7.6412e-05 -0.00040182 -0.0019149 0.0011171 0.0015274 -0.00055611 -0.0011011 0.0023126 -0.00024308 -0.00079247 0.001114 -0.0020579 -0.00025776 0.00093933 0.0034387 -0.0004752 0.00037282 0.0012207 0.0016467 -0.00067322 0.00024623 -0.00081325 -0.0014857 -0.00021821 -0.0005949 0.001633 9.6815e-05 -0.00035401 0.0039772 -0.0016808 -0.00063724 -0.0021181 5.0173e-05 0.0018294 -0.0029474 -0.0012782
H18-9-3	-0.00010735 -0.0024453 0.0018528 -0.00060382 0.00066102 -0.0016224 0.00059793 6.7161e-05 -0.00031144 0.0008536 -0.00081491 -0.00072499 0.0013887 -0.002148 0.0028571 -0.0015403 -0.0012575 0.0019932 -0.00045038 0.001016 0.0019902 0.00040403 0.001188 -0.0008658 -0.00021891 -0.001026 0.0024318 0.00089337 0.0030426 -0.00015509 -7.2275e-05 -0.0011731 -0.00074669 0.0016875 0.00025278 0.0018452 0.0010736 -0.0020332 -0.0016068 0.00055786 -0.00069324 0.00080167 0.00096144 1.8451e-06 0.0030679 -0.0026889 0.0035127 0.0012187 -0.00067967 -0.00019652 -0.0017878 0.00027616 -0.0004788 0.0002197 0.0009398 0.00093884 8.4665e-05 -0.00031688 0.00037547 0.0012278 0.0016902 0.0013686 0.0020679 0.0019005 0.00052187 0.0027391 -0.0030287 0.00083882 -0.0016126 -0.00031569 -0.0024204 -0.001286 0.00093639 -0.00093426 -0.00018911 -0.0028493 -0.0011505 0.0014261 0.0020698 0.00063638 -0.00019449 -0.0019356 0.0011192 -0.0031971 0.0032812 0.0004452 0.00053396 0.00080719 -0.0013938 0.00091546 0.00026383 -0.0024709 0.0024885 -0.0024069 0.00045594 -0.0016336 -9.6815e-05 -0.0033377 -0.0012857 -0.00291
H18-9-2	-0.00067464 -0.002636 0.0024068 -0.0011372 0.0011639 0.00021276 0.00058684 0.0012819 -0.00044175 -0.00086799 -0.0023917 0.00032874 -0.0012709 -0.0011038 0.00052244 0.001219 -0.00074771 0.0028022 -0.0021647 -0.00054311 0.0014923 7.1903e-05 0.002605 0.0015706 -0.00074564 -0.0027916 -0.00016179 0.0035749 0.0020899 -0.0016499 0.0013268 -0.00066506 0.0010966 0.0016613 -0.00021402 0.001594 0.0021502 0.00068267 -0.0039571 -0.00024039 -0.0019853 0.00053604 0.0011451 -0.0033503 0.0043253 -0.0012592 0.0023867 0.0012569 -0.0011635 -0.00049671 -0.00096942 -0.0010586 -0.00053103 0.00088554 0.0019506 -0.0015586 0.0011904 6.4035e-05 0.001775 -0.0021573 -0.0011157 -0.00015219 0.0013636 -0.0012608 0.0010954 -0.00030315 -0.0026524 0.0010617 0.00049279 4.1952e-05 -0.00020277 -0.00055493 -0.0006934 -0.0040472 -0.00027023 -0.00036131 0.00068883 0.00028295 -0.0011694 -6.5933e-05 0.00018199 -0.0026059 0.0019394 0.0010859 0.0010563 0.0010993 0.0011219 -0.00049316 -0.0017387 1.2282e-05 1.206e-05 -0.0031776 -0.00057009 -0.0024875 0.00023019 -0.0010496 -0.001583 0.00056799 0.0012923 -0.0016619
H18-26-5	0.0026632 -0.0008683 -0.00035142 -7.2273e-05 0.00038682 0.00037658 -0.003099 -7.8656e-05 0.0027217 -4.0988e-06 -0.00099027 0.001242 -0.0020022 0.0016049 -0.0007335 0.0025598 0.0014264 -0.00049383 -0.0018256 -0.0017371 0.0030274 0.0002788 -0.0037917 -0.0012192 -0.00095957 0.0029122 0.001874 -0.0014517 -0.00035671 0.0015575 0.00062685 0.0009354 0.00010479 0.00034771 -0.00078479 0.00073448 0.00033822 -0.001084 0.0011396 -0.0005678 0.0017082 0.00064201 -0.00021759 0.0016545 0.001976 -0.003205 0.0016753 -0.0014597 -0.00077394 0.00016113 -0.0033522 0.001988 -0.0018332 -0.0019312 0.0014157 -0.0010008 -0.00040146 0.0014309 -0.00063087 0.00036791 -0.0029421 -0.0010328 0.0012682 0.0025181 -0.00033248 0.0016098 0.0012484 0.0021111 -0.00049169 0.0013989 -0.0012141 0.0013598 -0.00079079 0.00072953 -0.00010541 -0.0019609 0.00056533 0.00132 0.0029269 0.00067905 0.0015316 0.00014285 0.00015548 -0.0011581 0.0022622 -0.0011184 0.00050595 0.00035012 0.00091542 -0.0034607 0.00092883 -0.0023259 0.0042489 0.00045963 -0.0007558 -0.0010978 -0.001892 -0.00020432 -0.0010578 0.00042191
H18-27-U	-0.0012838 0.0018724 -0.0002655 -0.0011036 0.00061411 0.00058681 -0.0009488 -0.0022134 0.0022173 0.0028208 0.00034864 0.00038382 -0.00029246 0.00099293 -0.00035717 0.00096633 0.0006335 0.0010939 -0.00020786 -0.0018626 0.00071901 0.0022085 -0.00055884 -0.0020958 0.00035241 -0.00073138 0.00090626 -2.0467e-05 -0.00044678 0.0033628 -0.0021164 -0.00015737 -0.0030079 -0.00014785 -0.0020117 -0.001246 -0.0011757 -0.00062704 -1.7817e-05 0.0010432 0.00079644 0.0018212 0.0016836 0.00071224 -0.0011604 0.00056081 0.00081849 0.0012274 -0.00097255 0.0009514 -0.0036251 0.0022943 -0.0019985 0.00059408 -0.00014123 -0.00063861 -0.0010702 4.368e-05 0.0015706 0.00062484 -0.0011401 0.00059494 0.0001257 0.0010249 0.00018022 -0.00035406 -0.0016688 0.00036119 0.0013277 0.00061162 -0.00013429 0.0016522 0.00042214 -0.0016985 -0.0006911 -0.00054248 0.0013281 0.0011164 0.0015046 -0.0027692 -0.001816 0.0011978 0.0028265 -0.0021814 5.2558e-05 -0.0021534 0.0014715 0.0016628 -0.00034127 -0.001955 -0.0011948 0.00085466 0.0029497 -0.0022399 0.001167 -0.001875 0.0011962 0.0019418 -0.00064999 9.855e-05
H18-20-3	0.0017031 0.0010026 0.00061373 -0.00044237 0.00028583 0.0028694 -0.0013767 0.00018822 0.0014877 0.00056322 9.5971e-05 0.00013439 -0.00035334 0.000817 -0.00088114 -0.0019291 0.00087233 0.001195 -0.00080677 0.001999 0.00077957 0.0034652 -0.00043887 0.00051908 -0.0023007 0.0012691 0.00049064 -0.00052503 -0.0012466 -0.0021974 0.00021137 0.0021985 0.00032828 -0.0015801 -0.0023814 -1.7e-05 -0.00091407 -0.00092791 -0.0007906 -0.00036964 -0.0015005 0.00085467 -0.00098207 -0.00012693 0.0020104 -0.0018139 0.0020683 -0.00086734 -4.3089e-05 0.0015755 -0.00047996 0.00080671 -0.00031691 -1.4561e-05 -0.00098882 -0.0012241 -0.0019069 0.0016086 0.0014641 -0.0002213 -0.0016788 0.001035 0.0024595 -5.3042e-05 -0.001266 -0.0003154 0.00087853 -0.0015538 -0.00081709 -0.001485 0.00092465 0.00020026 0.00022465 -0.00052897 0.0015972 0.0002269 -0.00021431 -0.00038272 0.0011911 0.00030122 0.0005494 0.0013956 0.0027009 0.00037645 0.002809 -7.864e-05 1.2993e-05 -0.0001579 -0.00091635 -0.00062566 0.00071289 0.0010991 0.0018624 0.00083122 -0.00092454 -0.00061147 0.00056992 0.00092441 2.5563e-05 -0.0027839
H18-1-1	-0.00052432 5.9622e-05 -0.00075224 -0.0022952 0.0018095 0.00073671 -0.00054052 -0.0002321 0.0011858 0.0012418 -0.0014623 0.0017034 -0.0011811 0.0015559 0.0015804 -0.0017978 -0.00067311 -0.00085396 -0.00024787 -0.00027053 0.00041391 0.00091632 0.00044331 0.00034131 -0.0011629 -0.00088353 0.0024331 0.0009157 0.00092313 0.00087841 0.0010632 -0.00062101 -0.00036792 -0.00050923 -0.001717 0.0010436 0.00060201 -0.00063865 0.00072468 0.0020861 0.0012872 0.00031261 0.0006761 0.00060415 0.0012903 -0.0015629 0.0014269 -0.00043552 -0.00057226 0.0034529 -0.0024478 -0.0008451 4.3053e-05 0.00015207 -0.00021394 0.00019651 -0.00021159 -0.00047827 -0.00066207 0.00045882 -0.0012964 0.0016208 0.00087525 0.00079337 -0.00088334 0.00071439 -0.0010771 -0.00031459 -0.0010351 -0.0010173 0.0010963 0.00063297 -0.00052531 0.0011011 -0.00076643 0.0013398 -0.0010091 0.0017127 0.001659 7.3537e-05 0.0013202 -0.00039571 0.002282 -5.1562e-05 0.0019428 -0.00018602 -0.00027156 0.0015354 -0.0020654 0.00011121 0.00049512 -0.0007852 0.0014084 -0.00068314 -0.00032238 -0.00025055 -0.00144 0.00052551 -0.00082234 -0.00085736
H18-20-2	7.3026e-05 0.00017204 -0.001119 -0.00027137 0.001478 0.0025394 0.0013133 0.00022503 0.0014415 0.0016482 -0.00019997 0.0005767 0.0019011 0.00071718 0.00086514 -0.00077274 -0.00028272 0.0022471 -0.0017063 -0.00029643 0.00013336 0.00030699 -0.00084593 -0.0032444 -1.7322e-05 -0.0021353 -5.2596e-05 -0.00081349 0.0017468 0.0011405 0.00030841 0.00020759 -0.00087882 -0.0013347 -0.0026841 -0.00089792 -0.00010118 -0.00031709 0.00087389 -0.00047672 -8.3479e-05 0.00058259 0.0024569 0.00033503 -0.00088893 -0.00093179 -0.00027378 4.5695e-05 -0.0022733 -0.0015641 -0.00071612 0.00073237 -0.00013899 0.00050743 0.00025845 -0.0007706 0.00038904 -0.00017527 -0.00012727 0.0027638 -0.00070524 0.00096682 0.0019028 0.00037834 0.00058397 -0.001116 -0.0013646 0.00034341 0.0027764 3.4914e-05 -0.00067918 0.0016214 -0.00058275 -0.00037347 -0.00035145 -0.0004801 0.001002 0.0011826 0.0026125 -0.00058326 -0.00010186 0.0025903 0.00017526 -0.0018932 -0.00076776 -0.0012147 0.001841 -0.0007948 -0.00098385 0.0014875 0.00032042 0.00064838 0.0038245 -0.0034598 -0.00098386 -0.00071537 0.00095759 0.001023 -0.00063389 -0.0012322
H18-28-1	0.0011487 0.00078737 -0.00039624 0.001144 0.0018964 0.0022615 -0.0016301 -0.00053211 0.00048565 -0.00090653 -0.00062554 0.0023564 0.00065553 0.0010119 -0.0006851 -0.0022174 0.0011904 -0.0013029 -0.0016334 -0.00061059 -0.0002796 6.6104e-05 -0.00085561 -0.00040185 -0.0017925 -0.00061289 0.00080155 0.00030529 -0.00070533 -0.0002923 0.00013325 -0.0017603 0.00063485 -0.0014943 -0.00075304 0.0011296 -0.00065036 0.0011253 -0.00044434 0.0017047 -0.0015193 0.0027794 0.00083833 0.0010225 0.0022126 -0.0021416 0.00073907 -0.0012921 -0.0002242 0.0021167 -0.0020648 -0.0014079 -2.2325e-05 0.00082994 0.0018468 0.0010615 -0.00016472 0.0021896 0.0023253 -0.0010653 0.0012295 0.00087406 0.0027208 0.0011428 0.0014693 0.00126 -0.0028265 -0.00033293 -0.0018002 0.00028538 0.00031829 0.001089 0.0018275 0.0012149 -0.001321 -0.00051572 -0.0017475 -0.0021992 -0.00029024 -0.0014406 0.00196 0.00077896 0.00066629 0.0022683 1.4035e-05 -0.00073748 -0.00078114 0.00040402 -0.0023776 0.0014501 0.0024807 -0.00091948 0.0015558 -0.00029375 -0.0011541 -0.0016802 0.00010523 -0.00079852 -0.0012994 -0.0025186
